cpu,dahili_hafiza,ekran_boyutu,kamera_cozunurlugu,mobil_baglanti_hizi,pil_gucu,ram_kapasitesi,on_kamera_cozunurluk,isletim_sistemi,brands,price
2.4,16,6.71,118,3.0,4000,4,15,0,1,3499.0
2.8,4,6.0,120,3.0,5020,6,50,0,25,89741.0
2.0,64,6.0,20,4.5,4000,4,10,0,19,6500.0
2.0,32,4.5,5,4.5,1500,3,10,0,31,3699.0
3.0,256,6.7,5,5.0,4000,8,60,0,19,39275.0
2.8,128,5.4,10,5.0,3000,4,20,1,1,42999.0
2.4,128,4.5,5,4.5,1500,4,20,0,26,4235.0
3.5,8,4.7,123,4.0,2800,2,50,0,1,6999.0
3.0,128,5.5,120,4.0,3900,2,50,0,19,12409.0
2.5,256,6.7,20,4.5,5000,8,20,0,10,7469.0
2.0,128,14.0,67,4.0,4500,6,80,1,16,7599.0
1.0,64,4.7,67,3.0,3279,3,5,1,1,9249.0
